Assembly Accession	Assembly Name	Organism Name	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Level	Assembly Submission Date	WGS project accession	Annotation Count Gene Protein-coding
GCA_002874925.1	ASM287492v1	Vibrio lentus		10N.286.54.F8					NCBI Prokaryotic Genome Annotation Pipeline	5798738	Scaffold	2018-01-11	MCSS01	4865
GCA_002874945.1	ASM287494v1	Vibrio cyclitrophicus		10N.286.54.F9					NCBI Prokaryotic Genome Annotation Pipeline	4937826	Scaffold	2018-01-11	MCSR01	4151
GCA_002874975.1	ASM287497v1	Vibrio cyclitrophicus		10N.286.55.A5					NCBI Prokaryotic Genome Annotation Pipeline	4934410	Scaffold	2018-01-11	MCSN01	4214
GCA_002875005.1	ASM287500v1	Vibrio splendidus		10N.222.45.C6					NCBI Prokaryotic Genome Annotation Pipeline	5596074	Scaffold	2018-01-11	MDBY01	4723
GCA_002875015.1	ASM287501v1	Vibrio cyclitrophicus		10N.222.45.E8					NCBI Prokaryotic Genome Annotation Pipeline	5072012	Scaffold	2018-01-11	MDBX01	4322
GCA_002875045.1	ASM287504v1	Vibrio splendidus		10N.222.46.B1					NCBI Prokaryotic Genome Annotation Pipeline	5479722	Scaffold	2018-01-11	MDBV01	4624
GCA_002875065.1	ASM287506v1	Vibrio splendidus		10N.222.46.A6					NCBI Prokaryotic Genome Annotation Pipeline	5582678	Scaffold	2018-01-11	MDBW01	4678
GCA_002875085.1	ASM287508v1	Vibrio splendidus		10N.222.46.E1					NCBI Prokaryotic Genome Annotation Pipeline	5543737	Scaffold	2018-01-11	MDBR01	4649
GCA_002875095.1	ASM287509v1	Vibrio splendidus		10N.222.46.B6					NCBI Prokaryotic Genome Annotation Pipeline	5597078	Scaffold	2018-01-11	MDBU01	4652
GCA_002875125.1	ASM287512v1	Vibrio cyclitrophicus		10N.222.46.F12					NCBI Prokaryotic Genome Annotation Pipeline	5803393	Scaffold	2018-01-11	MDBQ01	5081
GCA_002875145.1	ASM287514v1	Vibrio tasmaniensis		10N.222.48.A2					NCBI Prokaryotic Genome Annotation Pipeline	5514388	Scaffold	2018-01-11	MDBP01	4735
GCA_002875165.1	ASM287516v1	Vibrio breoganii		10N.222.49.A5					NCBI Prokaryotic Genome Annotation Pipeline	4199541	Scaffold	2018-01-11	MDBO01	3688
GCA_002875185.1	ASM287518v1	Vibrio breoganii		10N.222.49.B11					NCBI Prokaryotic Genome Annotation Pipeline	4023896	Scaffold	2018-01-11	MDBM01	3472
GCA_002875195.1	ASM287519v1	Vibrio breoganii		10N.222.49.A8					NCBI Prokaryotic Genome Annotation Pipeline	4029241	Scaffold	2018-01-11	MDBN01	3504
GCA_002875225.1	ASM287522v1	Vibrio splendidus		10N.222.49.C7					NCBI Prokaryotic Genome Annotation Pipeline	5556094	Scaffold	2018-01-11	MDBK01	4665
GCA_002875235.1	ASM287523v1	Vibrio breoganii		10N.222.49.B7					NCBI Prokaryotic Genome Annotation Pipeline	4145103	Scaffold	2018-01-11	MDBL01	3610
GCA_002875245.1	ASM287524v1	Vibrio breoganii		10N.222.51.A12					NCBI Prokaryotic Genome Annotation Pipeline	4172742	Scaffold	2018-01-11	MDBI01	3584
GCA_002875285.1	ASM287528v1	Vibrio breoganii		10N.222.51.B10					NCBI Prokaryotic Genome Annotation Pipeline	4149419	Scaffold	2018-01-11	MDBF01	3588
GCA_002875305.1	ASM287530v1	Vibrio splendidus		10N.222.51.B4					NCBI Prokaryotic Genome Annotation Pipeline	5602186	Scaffold	2018-01-11	MDBE01	4737
GCA_002875315.1	ASM287531v1	Vibrio breoganii		10N.222.51.C2					NCBI Prokaryotic Genome Annotation Pipeline	4137468	Scaffold	2018-01-11	MDBD01	3594
GCA_002875345.1	ASM287534v1	Vibrio splendidus		10N.222.51.F8					NCBI Prokaryotic Genome Annotation Pipeline	5535722	Scaffold	2018-01-11	MDAZ01	4699
GCA_002875355.1	ASM287535v1	Vibrio breoganii		10N.222.51.E3					NCBI Prokaryotic Genome Annotation Pipeline	4203115	Scaffold	2018-01-11	MDBC01	3612
GCA_002875385.1	ASM287538v1	Vibrio sp. 10N.222.52.B12		10N.222.52.B12					NCBI Prokaryotic Genome Annotation Pipeline	5946632	Scaffold	2018-01-11	MDAW01	5141
GCA_002875395.1	ASM287539v1	Vibrio splendidus		10N.222.51.F9					NCBI Prokaryotic Genome Annotation Pipeline	5366083	Scaffold	2018-01-11	MDAY01	4504
GCA_002875425.1	ASM287542v1	Vibrio breoganii		10N.222.52.C10					NCBI Prokaryotic Genome Annotation Pipeline	4234806	Scaffold	2018-01-11	MDAT01	3618
GCA_002875445.1	ASM287544v1	Vibrio breoganii		10N.222.52.B2					NCBI Prokaryotic Genome Annotation Pipeline	4150064	Scaffold	2018-01-11	MDAV01	3617
GCA_002875465.1	ASM287546v1	Vibrio cyclitrophicus		10N.222.54.F11					NCBI Prokaryotic Genome Annotation Pipeline	4975344	Scaffold	2018-01-11	MDAP01	4215
GCA_002875485.1	ASM287548v1	Vibrio sp. 10N.222.54.B6		10N.222.54.B6					NCBI Prokaryotic Genome Annotation Pipeline	4926868	Scaffold	2018-01-11	MDAR01	4161
GCA_002875495.1	ASM287549v1	Vibrio splendidus		10N.222.54.F7					NCBI Prokaryotic Genome Annotation Pipeline	5614493	Scaffold	2018-01-11	MDAO01	4772
GCA_002875525.1	ASM287552v1	Vibrio sp. 10N.222.55.C12		10N.222.55.C12					NCBI Prokaryotic Genome Annotation Pipeline	5009797	Scaffold	2018-01-11	MDAN01	4207
GCA_002875555.1	ASM287555v1	Vibrio sp. 10N.261.45.A1		10N.261.45.A1					NCBI Prokaryotic Genome Annotation Pipeline	5889689	Scaffold	2018-01-11	MDAK01	5121
GCA_002875585.1	ASM287558v1	Vibrio splendidus		10N.261.45.A2					NCBI Prokaryotic Genome Annotation Pipeline	5366144	Scaffold	2018-01-11	MDAJ01	4544
GCA_002875605.1	ASM287560v1	Vibrio sp. 10N.261.45.A6		10N.261.45.A6					NCBI Prokaryotic Genome Annotation Pipeline	5673463	Scaffold	2018-01-11	MDAI01	4927
GCA_002875625.1	ASM287562v1	Vibrio lentus		10N.261.45.C3					NCBI Prokaryotic Genome Annotation Pipeline	5811378	Scaffold	2018-01-11	MDAE01	4921
GCA_002875665.1	ASM287566v1	Vibrio lentus		10N.261.45.B10					NCBI Prokaryotic Genome Annotation Pipeline	5597501	Scaffold	2018-01-11	MDAH01	4779
GCA_002875685.1	ASM287568v1	Vibrio sp. 10N.261.45.E11		10N.261.45.E11					NCBI Prokaryotic Genome Annotation Pipeline	5525016	Scaffold	2018-01-11	MDAB01	4718
GCA_002875705.1	ASM287570v1	Vibrio sp. 10N.261.45.E2		10N.261.45.E2					NCBI Prokaryotic Genome Annotation Pipeline	5333083	Scaffold	2018-01-11	MCZZ01	4519
GCA_002875715.1	ASM287571v1	Vibrio lentus		10N.261.45.E12					NCBI Prokaryotic Genome Annotation Pipeline	5805480	Scaffold	2018-01-11	MDAA01	4894
GCA_002875745.1	ASM287574v1	Vibrio lentus		10N.261.45.E3					NCBI Prokaryotic Genome Annotation Pipeline	5625073	Scaffold	2018-01-11	MCZY01	4788
GCA_002875755.1	ASM287575v1	Vibrio cyclitrophicus		10N.261.45.F7					NCBI Prokaryotic Genome Annotation Pipeline	4931309	Scaffold	2018-01-11	MCZW01	4196
GCA_002875785.1	ASM287578v1	Vibrio lentus		10N.261.45.F9					NCBI Prokaryotic Genome Annotation Pipeline	5617903	Scaffold	2018-01-11	MCZU01	4827
GCA_002875805.1	ASM287580v1	Vibrio lentus		10N.261.46.B12					NCBI Prokaryotic Genome Annotation Pipeline	5554862	Scaffold	2018-01-11	MCZR01	4724
GCA_002875825.1	ASM287582v1	Vibrio lentus		10N.261.45.F8					NCBI Prokaryotic Genome Annotation Pipeline	5525707	Scaffold	2018-01-11	MCZV01	4694
GCA_002875845.1	ASM287584v1	Vibrio lentus		10N.261.46.A1					NCBI Prokaryotic Genome Annotation Pipeline	5780099	Scaffold	2018-01-11	MCZT01	4942
GCA_002875865.2	ASM287586v2	Vibrio lentus		10N.261.46.B5					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5837724	Contig	2021-11-10	MCZQ02	4855
GCA_002875885.1	ASM287588v1	Vibrio sp. 10N.261.46.E8		10N.261.46.E8					NCBI Prokaryotic Genome Annotation Pipeline	5782652	Scaffold	2018-01-11	MCZN01	4987
GCA_002875905.1	ASM287590v1	Vibrio sp. 10N.261.46.F12		10N.261.46.F12					NCBI Prokaryotic Genome Annotation Pipeline	5797015	Scaffold	2018-01-11	MCZL01	5015
GCA_002875915.1	ASM287591v1	Vibrio breoganii		10N.261.46.C3					NCBI Prokaryotic Genome Annotation Pipeline	4232522	Scaffold	2018-01-11	MCZO01	3627
GCA_002875945.1	ASM287594v1	Vibrio lentus		10N.261.46.F8					NCBI Prokaryotic Genome Annotation Pipeline	5685011	Scaffold	2018-01-11	MCZK01	4780
GCA_002875965.1	ASM287596v1	Vibrio lentus		10N.261.48.A1					NCBI Prokaryotic Genome Annotation Pipeline	5878334	Scaffold	2018-01-11	MCZJ01	5019
GCA_002875985.1	ASM287598v1	Vibrio breoganii		10N.261.48.B1					NCBI Prokaryotic Genome Annotation Pipeline	3998281	Scaffold	2018-01-11	MCZG01	3456
GCA_002875995.1	ASM287599v1	Vibrio splendidus		10N.261.48.B5					NCBI Prokaryotic Genome Annotation Pipeline	5660348	Scaffold	2018-01-11	MCZF01	4795
GCA_002876025.1	ASM287602v1	Vibrio lentus		10N.261.48.A9					NCBI Prokaryotic Genome Annotation Pipeline	5446492	Scaffold	2018-01-11	MCZI01	4626
GCA_002876045.1	ASM287604v1	Vibrio splendidus		10N.261.48.B7					NCBI Prokaryotic Genome Annotation Pipeline	5348965	Scaffold	2018-01-11	MCZE01	4540
GCA_002876065.1	ASM287606v1	Vibrio lentus		10N.261.48.C11					NCBI Prokaryotic Genome Annotation Pipeline	5911867	Scaffold	2018-01-11	MCZD01	5021
GCA_002876085.1	ASM287608v1	Vibrio lentus		10N.261.48.C12					NCBI Prokaryotic Genome Annotation Pipeline	5740982	Scaffold	2018-01-11	MCZC01	4888
GCA_002876105.1	ASM287610v1	Vibrio lentus		10N.261.48.C5					NCBI Prokaryotic Genome Annotation Pipeline	5995086	Scaffold	2018-01-11	MCZB01	5202
GCA_002876115.1	ASM287611v1	Vibrio breoganii		10N.261.48.E5					NCBI Prokaryotic Genome Annotation Pipeline	4086963	Scaffold	2018-01-11	MCYY01	3485
GCA_002876125.1	ASM287612v1	Vibrio breoganii		10N.261.48.E3					NCBI Prokaryotic Genome Annotation Pipeline	4042653	Scaffold	2018-01-11	MCYZ01	3517
GCA_002876165.1	ASM287616v1	Vibrio breoganii		10N.261.51.B7					NCBI Prokaryotic Genome Annotation Pipeline	4148523	Scaffold	2018-01-11	MCYM01	3578
GCA_002876185.1	ASM287618v1	Vibrio sp. 10N.261.51.A7		10N.261.51.A7					NCBI Prokaryotic Genome Annotation Pipeline	5028967	Scaffold	2018-01-11	MCYO01	4228
GCA_002876195.1	ASM287619v1	Vibrio breoganii		10N.261.49.C1					NCBI Prokaryotic Genome Annotation Pipeline	4097132	Scaffold	2018-01-11	MCYU01	3521
GCA_002876225.1	ASM287622v1	Vibrio lentus		10N.261.51.B8					NCBI Prokaryotic Genome Annotation Pipeline	5485570	Scaffold	2018-01-11	MCYL01	4693
GCA_002876245.1	ASM287624v1	Vibrio tasmaniensis		10N.261.51.E11					NCBI Prokaryotic Genome Annotation Pipeline	5130033	Scaffold	2018-01-11	MCYJ01	4352
GCA_002876255.1	ASM287625v1	Vibrio lentus		10N.261.51.C9					NCBI Prokaryotic Genome Annotation Pipeline	5649133	Scaffold	2018-01-11	MCYK01	4826
GCA_002876285.1	ASM287628v1	Vibrio lentus		10N.261.51.F8					NCBI Prokaryotic Genome Annotation Pipeline	5934260	Scaffold	2018-01-11	MCYG01	5046
GCA_002876295.1	ASM287629v1	Vibrio breoganii		10N.261.51.E6					NCBI Prokaryotic Genome Annotation Pipeline	4137614	Scaffold	2018-01-11	MCYI01	3553
GCA_002876325.1	ASM287632v1	Vibrio sp. 10N.261.52.A1		10N.261.52.A1					NCBI Prokaryotic Genome Annotation Pipeline	5716520	Scaffold	2018-01-11	MCYD01	4755
GCA_002876335.1	ASM287633v1	Vibrio tasmaniensis		10N.261.52.A6					NCBI Prokaryotic Genome Annotation Pipeline	5065000	Scaffold	2018-01-11	MCYC01	4278
GCA_002876365.1	ASM287636v1	Vibrio lentus		10N.261.52.B2					NCBI Prokaryotic Genome Annotation Pipeline	5526766	Scaffold	2018-01-11	MCYA01	4754
GCA_002876375.1	ASM287637v1	Vibrio breoganii		10N.261.52.C1					NCBI Prokaryotic Genome Annotation Pipeline	4162961	Scaffold	2018-01-11	MCXZ01	3612
GCA_002876405.1	ASM287640v1	Vibrio lentus		10N.261.52.C5					NCBI Prokaryotic Genome Annotation Pipeline	5779834	Scaffold	2018-01-11	MCXX01	4946
GCA_002876415.1	ASM287641v1	Vibrio lentus		10N.261.52.C7					NCBI Prokaryotic Genome Annotation Pipeline	5621856	Scaffold	2018-01-11	MCXW01	4813
GCA_002876425.1	ASM287642v1	Vibrio cyclitrophicus		10N.261.52.C4					NCBI Prokaryotic Genome Annotation Pipeline	4872224	Scaffold	2018-01-11	MCXY01	4127
GCA_002876465.1	ASM287646v1	Vibrio splendidus		10N.222.46.C2					NCBI Prokaryotic Genome Annotation Pipeline	5542839	Scaffold	2018-01-11	MDBT01	4649
GCA_002876485.1	ASM287648v1	Vibrio tasmaniensis		10N.222.51.A7					NCBI Prokaryotic Genome Annotation Pipeline	5518524	Scaffold	2018-01-11	MDBG01	4716
GCA_002876495.1	ASM287649v1	Vibrio breoganii		10N.222.51.A4					NCBI Prokaryotic Genome Annotation Pipeline	4183890	Scaffold	2018-01-11	MDBH01	3653
GCA_002876525.1	ASM287652v1	Vibrio cyclitrophicus		10N.222.46.E12					NCBI Prokaryotic Genome Annotation Pipeline	5820094	Scaffold	2018-01-11	MDBS01	5082
GCA_002876535.1	ASM287653v1	Vibrio breoganii		10N.222.49.F8					NCBI Prokaryotic Genome Annotation Pipeline	4170997	Scaffold	2018-01-11	MDBJ01	3596
GCA_002876565.1	ASM287656v1	Vibrio splendidus		10N.222.52.A7					NCBI Prokaryotic Genome Annotation Pipeline	5356125	Scaffold	2018-01-11	MDAX01	4543
GCA_002876575.1	ASM287657v1	Vibrio breoganii		10N.222.52.B8					NCBI Prokaryotic Genome Annotation Pipeline	4207332	Scaffold	2018-01-11	MDAU01	3616
GCA_002876585.1	ASM287658v1	Vibrio breoganii		10N.222.51.E4					NCBI Prokaryotic Genome Annotation Pipeline	4046740	Scaffold	2018-01-11	MDBB01	3532
GCA_002876625.1	ASM287662v1	Vibrio breoganii		10N.222.51.E5					NCBI Prokaryotic Genome Annotation Pipeline	4062347	Scaffold	2018-01-11	MDBA01	3557
GCA_002876645.1	ASM287664v1	Vibrio splendidus		10N.222.52.F3					NCBI Prokaryotic Genome Annotation Pipeline	5794648	Scaffold	2018-01-11	MDAS01	4916
GCA_002876665.1	ASM287666v1	Vibrio sp. 10N.222.55.F9		10N.222.55.F9					NCBI Prokaryotic Genome Annotation Pipeline	4971660	Scaffold	2018-01-11	MDAM01	4199
GCA_002876675.1	ASM287667v1	Vibrio sp. 10N.222.54.F10		10N.222.54.F10					NCBI Prokaryotic Genome Annotation Pipeline	4912142	Scaffold	2018-01-11	MDAQ01	4152
GCA_002876715.1	ASM287671v1	Vibrio breoganii		10N.261.45.B7					NCBI Prokaryotic Genome Annotation Pipeline	4173353	Scaffold	2018-01-11	MDAF01	3599
GCA_002876745.1	ASM287674v1	Vibrio splendidus		10N.261.46.B10					NCBI Prokaryotic Genome Annotation Pipeline	5859038	Scaffold	2018-01-11	MCZS01	4891
GCA_002876765.1	ASM287676v1	Vibrio breoganii		10N.261.46.B7					NCBI Prokaryotic Genome Annotation Pipeline	4151706	Scaffold	2018-01-11	MCZP01	3553
GCA_002876785.1	ASM287678v1	Vibrio splendidus		10N.261.45.E8					NCBI Prokaryotic Genome Annotation Pipeline	5752211	Scaffold	2018-01-11	MCZX01	4848
GCA_002876795.1	ASM287679v1	Vibrio lentus		10N.261.45.C7					NCBI Prokaryotic Genome Annotation Pipeline	5625395	Scaffold	2018-01-11	MDAC01	4778
GCA_002876825.1	ASM287682v1	Vibrio splendidus		10N.261.46.E9					NCBI Prokaryotic Genome Annotation Pipeline	5932378	Scaffold	2018-01-11	MCZM01	5062
GCA_002876845.1	ASM287684v1	Vibrio lentus		10N.261.48.B11					NCBI Prokaryotic Genome Annotation Pipeline	5793286	Scaffold	2018-01-11	MCZH01	4951
GCA_002876855.1	ASM287685v1	Vibrio breoganii		10N.261.48.C6					NCBI Prokaryotic Genome Annotation Pipeline	4159246	Scaffold	2018-01-11	MCZA01	3600
GCA_002876865.1	ASM287686v1	Vibrio kanaloae		10N.261.49.B3					NCBI Prokaryotic Genome Annotation Pipeline	4733426	Scaffold	2018-01-11	MCYW01	3994
GCA_002876905.1	ASM287690v1	Vibrio splendidus		10N.261.49.A1					NCBI Prokaryotic Genome Annotation Pipeline	5820313	Scaffold	2018-01-11	MCYX01	4895
GCA_002876915.1	ASM287691v1	Vibrio sp. 10N.261.49.E11		10N.261.49.E11					NCBI Prokaryotic Genome Annotation Pipeline	5822881	Scaffold	2018-01-11	MCYT01	5042
GCA_002876945.2	ASM287694v2	Vibrio splendidus		10N.261.49.C11					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5627598	Contig	2021-11-10	MCYV02	4753
GCA_002876965.1	ASM287696v1	Vibrio breoganii		10N.261.49.F3					NCBI Prokaryotic Genome Annotation Pipeline	4238239	Scaffold	2018-01-11	MCYR01	3641
GCA_002876975.1	ASM287697v1	Vibrio breoganii		10N.261.49.E4					NCBI Prokaryotic Genome Annotation Pipeline	4161337	Scaffold	2018-01-11	MCYS01	3591
GCA_002877005.2	ASM287700v2	Vibrio lentus		10N.261.49.F8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5827267	Contig	2021-11-10	MCYP02	4879
GCA_002877045.1	ASM287704v1	Vibrio breoganii		10N.261.51.F2					NCBI Prokaryotic Genome Annotation Pipeline	4183354	Scaffold	2018-01-11	MCYH01	3580
GCA_002877065.2	ASM287706v2	Vibrio lentus		10N.261.51.A9					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5807593	Contig	2021-11-10	MCYN02	4927
GCA_002877085.1	ASM287708v1	Vibrio breoganii		10N.261.52.B1					NCBI Prokaryotic Genome Annotation Pipeline	4468842	Scaffold	2018-01-11	MCYB01	3952
GCA_002877105.1	ASM287710v1	Vibrio breoganii		10N.261.52.A10					NCBI Prokaryotic Genome Annotation Pipeline	4125085	Scaffold	2018-01-11	MCYE01	3593
GCA_002877115.1	ASM287711v1	Vibrio lentus		10N.261.51.F9					NCBI Prokaryotic Genome Annotation Pipeline	5750509	Scaffold	2018-01-11	MCYF01	4915
GCA_002877145.1	ASM287714v1	Vibrio breoganii		10N.261.52.F10					NCBI Prokaryotic Genome Annotation Pipeline	4188747	Scaffold	2018-01-11	MCXS01	3635
GCA_002877155.1	ASM287715v1	Vibrio sp. 10N.261.52.E5		10N.261.52.E5					NCBI Prokaryotic Genome Annotation Pipeline	5444323	Scaffold	2018-01-11	MCXT01	4648
GCA_002877185.1	ASM287718v1	Vibrio breoganii		10N.261.52.F8					NCBI Prokaryotic Genome Annotation Pipeline	4206608	Scaffold	2018-01-11	MCXL01	3648
GCA_002877195.1	ASM287719v1	Vibrio splendidus		10N.261.52.F2					NCBI Prokaryotic Genome Annotation Pipeline	5406408	Scaffold	2018-01-11	MCXP01	4620
GCA_002877225.1	ASM287722v1	Vibrio splendidus		10N.261.54.A1					NCBI Prokaryotic Genome Annotation Pipeline	5412616	Scaffold	2018-01-11	MCXK01	4569
GCA_002877235.1	ASM287723v1	Vibrio lentus		10N.261.54.A2					NCBI Prokaryotic Genome Annotation Pipeline	5890826	Scaffold	2018-01-11	MCXJ01	5035
GCA_002877245.1	ASM287724v1	Vibrio sp. 10N.261.54.C3		10N.261.54.C3					NCBI Prokaryotic Genome Annotation Pipeline	4953586	Scaffold	2018-01-11	MCXG01	4184
GCA_002877285.1	ASM287728v1	Vibrio breoganii		10N.261.54.B2					NCBI Prokaryotic Genome Annotation Pipeline	4312677	Scaffold	2018-01-11	MCXI01	3740
GCA_002877305.1	ASM287730v1	Vibrio breoganii		10N.261.54.C7					NCBI Prokaryotic Genome Annotation Pipeline	4184378	Scaffold	2018-01-11	MCXF01	3596
GCA_002877315.1	ASM287731v1	Vibrio splendidus		10N.261.54.E12					NCBI Prokaryotic Genome Annotation Pipeline	5319145	Scaffold	2018-01-11	MCXD01	4467
GCA_002877345.1	ASM287734v1	Vibrio splendidus		10N.261.54.F5					NCBI Prokaryotic Genome Annotation Pipeline	5526775	Scaffold	2018-01-11	MCXB01	4556
GCA_002877365.1	ASM287736v1	Vibrio sp. 10N.261.55.A7		10N.261.55.A7					NCBI Prokaryotic Genome Annotation Pipeline	4939727	Scaffold	2018-01-11	MCWZ01	4255
GCA_002877375.1	ASM287737v1	Vibrio cyclitrophicus		10N.261.54.F1					NCBI Prokaryotic Genome Annotation Pipeline	5044957	Scaffold	2018-01-11	MCXC01	4242
GCA_002877405.1	ASM287740v1	Vibrio cyclitrophicus		10N.261.55.A11					NCBI Prokaryotic Genome Annotation Pipeline	4930767	Scaffold	2018-01-11	MCXA01	4161
GCA_002877415.1	ASM287741v1	Vibrio lentus		10N.261.55.A8					NCBI Prokaryotic Genome Annotation Pipeline	5475331	Scaffold	2018-01-11	MCWY01	4636
GCA_002877445.1	ASM287744v1	Vibrio lentus		10N.261.55.B3					NCBI Prokaryotic Genome Annotation Pipeline	5795268	Scaffold	2018-01-11	MCWX01	4897
GCA_002877465.1	ASM287746v1	Vibrio cyclitrophicus		10N.261.55.B9					NCBI Prokaryotic Genome Annotation Pipeline	4885555	Scaffold	2018-01-11	MCWW01	4141
GCA_002877485.1	ASM287748v1	Vibrio lentus		10N.261.55.E5					NCBI Prokaryotic Genome Annotation Pipeline	5566427	Scaffold	2018-01-11	MCWT01	4731
GCA_002877505.1	ASM287750v1	Vibrio cyclitrophicus		10N.261.55.E6					NCBI Prokaryotic Genome Annotation Pipeline	5043048	Scaffold	2018-01-11	MCWS01	4240
GCA_002877525.1	ASM287752v1	Vibrio splendidus		10N.286.45.A10					NCBI Prokaryotic Genome Annotation Pipeline	5802720	Scaffold	2018-01-11	MCWO01	4770
GCA_002877535.1	ASM287753v1	Vibrio lentus		10N.261.55.E8					NCBI Prokaryotic Genome Annotation Pipeline	5645112	Scaffold	2018-01-11	MCWR01	4770
GCA_002877545.1	ASM287754v1	Vibrio breoganii		10N.261.55.F5					NCBI Prokaryotic Genome Annotation Pipeline	4211783	Scaffold	2018-01-11	MCWQ01	3610
GCA_002877585.1	ASM287758v1	Vibrio cyclitrophicus		10N.286.45.A5					NCBI Prokaryotic Genome Annotation Pipeline	5456080	Scaffold	2018-01-11	MCWN01	4605
GCA_002877605.2	ASM287760v2	Vibrio lentus		10N.261.52.F12					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5742634	Contig	2021-11-10	MCXR02	4807
GCA_002877625.1	ASM287762v1	Vibrio cyclitrophicus		10N.261.52.E1					NCBI Prokaryotic Genome Annotation Pipeline	4917733	Scaffold	2018-01-11	MCXU01	4127
GCA_002877645.1	ASM287764v1	Vibrio lentus		10N.261.52.F1					NCBI Prokaryotic Genome Annotation Pipeline	5828788	Scaffold	2018-01-11	MCXQ01	4985
GCA_002877655.1	ASM287765v1	Vibrio breoganii		10N.261.52.F6					NCBI Prokaryotic Genome Annotation Pipeline	4140800	Scaffold	2018-01-11	MCXN01	3559
GCA_002877685.1	ASM287768v1	Vibrio breoganii		10N.261.52.F5					NCBI Prokaryotic Genome Annotation Pipeline	4222398	Scaffold	2018-01-11	MCXO01	3617
GCA_002877705.1	ASM287770v1	Vibrio cyclitrophicus		10N.261.54.B5					NCBI Prokaryotic Genome Annotation Pipeline	4974973	Scaffold	2018-01-11	MCXH01	4209
GCA_002877725.1	ASM287772v1	Vibrio lentus		10N.261.52.F7					NCBI Prokaryotic Genome Annotation Pipeline	5922369	Scaffold	2018-01-11	MCXM01	5058
GCA_002877735.1	ASM287773v1	Vibrio sp. 10N.261.54.E10		10N.261.54.E10					NCBI Prokaryotic Genome Annotation Pipeline	5095123	Scaffold	2018-01-11	MCXE01	4272
GCA_002877745.1	ASM287774v1	Vibrio cyclitrophicus		10N.261.55.F9					NCBI Prokaryotic Genome Annotation Pipeline	5116328	Scaffold	2018-01-11	MCWP01	4280
GCA_002878515.1	ASM287851v1	Vibrio lentus		10N.286.51.F12					NCBI Prokaryotic Genome Annotation Pipeline	5812726	Scaffold	2018-01-11	MCUC01	4962
GCA_002878535.1	ASM287853v1	Vibrio breoganii		10N.286.51.A6					NCBI Prokaryotic Genome Annotation Pipeline	4183066	Scaffold	2018-01-11	MCUK01	3637
GCA_002878555.1	ASM287855v1	Vibrio splendidus		10N.286.48.F2					NCBI Prokaryotic Genome Annotation Pipeline	5450588	Scaffold	2018-01-11	MCVC01	4626
GCA_002878565.1	ASM287856v1	Vibrio splendidus		10N.286.48.F4					NCBI Prokaryotic Genome Annotation Pipeline	5333252	Scaffold	2018-01-11	MCVA01	3412
GCA_002878595.1	ASM287859v1	Vibrio splendidus		10N.261.55.E11					NCBI Prokaryotic Genome Annotation Pipeline	5346161	Scaffold	2018-01-11	MCWU01	4550
GCA_002878605.2	ASM287860v2	Vibrio lentus		10N.261.55.C8					NCBI Prokaryotic Genome Annotation Pipeline (PGAP)	5861473	Contig	2021-11-10	MCWV02	4929
GCA_002878635.1	ASM287863v1	Vibrio lentus		10N.261.52.C9					NCBI Prokaryotic Genome Annotation Pipeline	5170688	Scaffold	2018-01-11	MCXV01	4408
GCA_002880015.1	ASM288001v1	Vibrio parahaemolyticus		ND21					NCBI Prokaryotic Genome Annotation Pipeline	5475883	Contig	2018-01-15	POAZ01	5187
GCA_002880025.1	ASM288002v1	Vibrio parahaemolyticus		ND24					NCBI Prokaryotic Genome Annotation Pipeline	5509299	Contig	2018-01-15	POAW01	5258
GCA_002880035.1	ASM288003v1	Vibrio parahaemolyticus		ND23					NCBI Prokaryotic Genome Annotation Pipeline	5468202	Contig	2018-01-15	POAX01	5174
GCA_002880075.1	ASM288007v1	Vibrio parahaemolyticus		ND22					NCBI Prokaryotic Genome Annotation Pipeline	5501717	Contig	2018-01-15	POAY01	5245
GCA_002880085.1	ASM288008v1	Vibrio parahaemolyticus		ND20					NCBI Prokaryotic Genome Annotation Pipeline	5474888	Contig	2018-01-15	POBA01	5185
GCA_002880095.1	ASM288009v1	Vibrio parahaemolyticus		ND18					NCBI Prokaryotic Genome Annotation Pipeline	5470117	Contig	2018-01-15	POBC01	5171
GCA_002880135.1	ASM288013v1	Vibrio parahaemolyticus		ND19					NCBI Prokaryotic Genome Annotation Pipeline	5504234	Contig	2018-01-15	POBB01	5242
GCA_002880155.1	ASM288015v1	Vibrio parahaemolyticus		ND17					NCBI Prokaryotic Genome Annotation Pipeline	5478216	Contig	2018-01-15	POBD01	5190
GCA_002880175.1	ASM288017v1	Vibrio parahaemolyticus		ND16					NCBI Prokaryotic Genome Annotation Pipeline	5505608	Contig	2018-01-15	POBE01	5238
